Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1366921.png,28.18989449,0.355390624,0.102239864
1024x1024,Gaussian,pexels-photo-1366922.png,27.97509775,0.378344318,-0.011155442
1024x1024,Gaussian,pexels-photo-1366919.png,27.67588938,0.374857823,0.171041502
1024x1024,Gaussian,pexels-photo-1366957.png,27.39343928,0.4015718,-0.124020486
1024x1024,Gaussian,pexels-photo-1367105.png,27.57186819,0.394132623,0.018387878
1024x1024,Gaussian,pexels-photo-1368382.png,29.61289022,0.347646045,-0.029910733
1024x1024,Gaussian,pexels-photo-1367192.png,28.29570394,0.371405623,-0.001042428
1024x1024,Gaussian,pexels-photo-139975.png,27.41193637,0.447490298,-0.170015281
1024x1024,Gaussian,pexels-photo-1374064.png,27.43213447,0.395076075,0.012424177
1024x1024,Gaussian,pexels-photo-1403550.png,27.64375318,0.506218032,-0.03273054
1024x1024,Gaussian,pexels-photo-1378723.png,27.3548934,0.589249706,-0.122224339
1024x1024,Gaussian,pexels-photo-1417651.png,27.70478391,0.382003808,0.119087503
1024x1024,Gaussian,pexels-photo-1404918.png,27.48015523,0.427676178,-0.142669054
1024x1024,Gaussian,pexels-photo-1374295.png,27.39397786,0.45656169,-0.013050246
1024x1024,Gaussian,pexels-photo-1402787.png,27.62977857,0.491086846,0.112022955
1024x1024,Gaussian,pexels-photo-141978.png,27.36769056,0.449784533,-0.115677165
1024x1024,Gaussian,pexels-photo-1417647.png,29.28900131,0.315593075,0.148655464
1024x1024,Gaussian,pexels-photo-1421903.png,28.36772955,0.303550111,0.121003354
1024x1024,Gaussian,pexels-photo-1420440.png,27.85656985,0.366783795,-0.059893864
1024x1024,Gaussian,pexels-photo-1423580.png,28.84262295,0.363314971,-0.066871033
1024x1024,Gaussian,pexels-photo-1423600.png,28.48773979,0.325083765,-0.26142825
1024x1024,Gaussian,pexels-photo-1440476.png,28.10355408,0.358682684,-0.056539915
1024x1024,Gaussian,pexels-photo-1450363.png,27.6211662,0.425939631,-0.094943733
1024x1024,Gaussian,pexels-photo-142497.png,28.920871,0.346776083,-0.051194864
1024x1024,Gaussian,pexels-photo-1449455.png,27.2056675,0.607090622,0.070925778
1024x1024,Gaussian,pexels-photo-1428277.png,27.32360444,0.389980098,-0.199092541
1024x1024,Gaussian,pexels-photo-1450340.png,27.3030925,0.404971213,-0.075020613
